#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#EVTDESC_MNM_6990;It's a magnificently [Root.GetWeatherAdjective] day when I decide to leave the comforts of our [province_target.GetHolding] and head out into the surprisingly [Root.GetTemperature] wind to visit my old childhood friend. She's supposed to be back from the [Root.GetHouseOfWorship] now.;C'est un beau jour [Root.GetWeatherAdjective] lorsque je décide de quitter le confort [province_target.GetHoldingDuDela] et d'affronter le vent étonnamment [Root.GetTemperature] pour rendre visite à mon amie d'enfance. Elle est supposée être revenue à présent [Root.GetHouseOfWorship].;Es ist ein wunderschöner [Root.GetWeatherAdjective] Tag, als ich mich entschließe, mein gemütliches Heim zu verlassen, und in den überraschend [Root.GetTemperature] Wind trete, um eine alte Jugendbekanntschaft zu treffen. Sie sollte bereits aus dem Gotteshaus zurück sein.;;En este día [Root.GetWeatherAdjective] he decidido abandonar las comodidades de mi hogar y desafiar al [Root.GetTemperature] viento para visitar a una amiga de la infancia. She's supposed to be back from the [Root.GetHouseOfWorship] now.;;;;;;;;;x
#EVTOPTA_MNM_6990;Our [Root.Capital.GetCapitalHolding] is the best.;Notre [Root.Capital.GetHolding] est magnifique.;Unser(e) [Root.Capital.GetCapitalHolding] ist das Beste.;;Nuestro/a [Root.Capital.GetCapitalHolding] es incomparable.;;;;;;;;;x
#EVTOPTA_MNM_6990_TT;Indeed.;En effet.;In der Tat.;;Por supuesto.;;;;;;;;;x
#EVTDESC_MNM_6991;The [Root.GetWeather] has been extreme around the [Root.GetHolding] of our beloved [Root.Capital.Capital.GetName].;Le temps a été extrêmement [Root.GetWeather] aux alentours [Root.GetHoldingDuDela] de [Root.Capital.Capital.GetName].;Das Wetter ist seit einiger Zeit extrem an diesem Punkt ([Root.GetHolding]) unseres geliebten Reichs.;;El clima está siendo extremo en los aledaños del/de la [Root.GetHolding] de [Root.Capital.Capital.GetName].;;;;;;;;;x
#EVTOPTA_MNM_6991;Yeah!;Oui !;Jawohl!;;¡Sí!;;;;;;;;;x
#EVTOPTA_MNM_6991_TT;Indeed.;En effet.;In der Tat.;;Por supuesto.;;;;;;;;;x
GetWeatherAdjective_Sunny;sunny;ensoleillé;sonniger;;de sol;;;;;;;;;x
GetWeatherAdjective_Rainy;rainy;pluvieux;regnerischer;;de lluvia;;;;;;;;;x
GetWeatherAdjective_Snowy;snowy;neigeux;verschneiter;;de nieve;;;;;;;;;x
GetWeatherAdjective_Stormy;stormy;orageux;stürmischer;;de tormenta;;;;;;;;;x
GetWeatherAdjective_Windy;windy;venteux;windiger;;de viento;;;;;;;;;x
GetWeatherAdjective_Cloudy;cloudy;nuageux;bewölkter;;de nubes;;;;;;;;;x
GetWeatherAdjective_Foggy;foggy;brumeux;nebelverhangener;;de niebla;;;;;;;;;x
GetTemperature_Sweltering;sweltering;étouffant;glühend heißen;;sofocante;;;;;;;;;x
GetTemperature_Freezing;freezing;glacial;frierenden;;gélido;;;;;;;;;x
GetTemperature_Cold;cold;froid;kalten;;frío;;;;;;;;;x
GetTemperature_Warm;warm;chaud;warmen;;cálido;;;;;;;;;x
GetHolding_Castle_1;castle;le château;Burg;;castillo;;;;;;;;;x
GetHolding_Castle_2;castle;le château;Burg;;castillo;;;;;;;;;x
GetHolding_Castle_3;palace;le palais;Palast;;palacio;;;;;;;;;x
GetHolding_Temple_1;temple;le temple;Tempel;;templo;;;;;;;;;x
GetHolding_Nomad_1;camp;le camp;Lager;;campamento;;;;;;;;;x
GetHolding_Nomad_2;encampment;le campement;Feldlager;;campamento militar;;;;;;;;;x
GetHolding_Nomad_3;palace;le palais;Palast;;palacio;;;;;;;;;x
GetHolding_Tribal_1;village;le village;Dorf;;aldea;;;;;;;;;x
GetHolding_Tribal_2;town;la ville;Städtchen;;pueblo;;;;;;;;;x
GetHolding_Tribal_3;fortress;la forteresse;Festung;;fortaleza;;;;;;;;;x
GetHolding_City_1;city;la cité;Stadt;;ciudad;;;;;;;;;x
GetHolding_City_2;city;la cité;Stadt;;ciudad;;;;;;;;;x
GetHolding_City_3;metropolis;la métropole;Metropole;;metrópoli;;;;;;;;;x
GetHolding_Fallback_1;capital;la capitale;Hauptstadt;;capital;;;;;;;;;x
GetHouseOfWorship_Christian;church;à l'église;Kirche;;iglesia;;;;;;;;;x
GetHouseOfWorship_Muslim;mosque;à la mosquée;Moschee;;mezquita;;;;;;;;;x
