#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abasolo_GT;Abasolo;;;;;;;;;;;;;x
b_abasolo_TM;Abasolo;;;;;;;;;;;;;x
c_abacoa_adj;Abacoan;;;;;;;;;;;;;x
b_abbeville_AL;Abbeville;;;;;;;;;;;;;x
b_abbeville_LA;Abbeville;;;;;;;;;;;;;x
b_abbeville_MS;Abbeville;;;;;;;;;;;;;x
b_abbeville_SC;Abbeville;;;;;;;;;;;;;x
b_abbotsford_BC;Abbotsford;;;;;;;;;;;;;x
b_abbott_PA;Abbott;;;;;;;;;;;;;x
b_aberdeen_ID;Aberdeen;;;;;;;;;;;;;x
b_aberdeen_MS;Aberdeen;;;;;;;;;;;;;x
b_aberdeen_NC;Aberdeen;;;;;;;;;;;;;x
b_aberdeen_SD;Aberdeen;;;;;;;;;;;;;x
b_aberdeen_WA;Aberdeen;;;;;;;;;;;;;x
b_abernathy_TX;Abernathy;;;;;;;;;;;;;x
b_abilene_TX;Abilene;;;;;;;;;;;;;x
b_abingdon_MD;Abindgon;;;;;;;;;;;;;x
b_abingdon_VA;Abingdon;;;;;;;;;;;;;x
b_ableman_WI;Ableman;;;;;;;;;;;;;x
b_aboite_IN;Aboite;;;;;;;;;;;;;x
b_abrego_COL;Abrego;;;;;;;;;;;;;x
b_absarokee_MT;Absarokee;;;;;;;;;;;;;x
b_absecon_NJ;Absecon;;;;;;;;;;;;;x
b_acacias_LLA_adj;Acaciasian;;;;;;;;;;;;;x
b_acacias_LLA;Acacias;;;;;;;;;;;;;x
b_acadieville_NB;Acadieville;;;;;;;;;;;;;x
b_acala_CP;Acala;;;;;;;;;;;;;x
b_acambay_MX;Acambay;;;;;;;;;;;;;x
b_acapetahua_CP;Acapetahua;;;;;;;;;;;;;x
b_acaponeta_JA;Acaponeta;;;;;;;;;;;;;x
b_acapulco_GR;Acapulco;;;;;;;;;;;;;x
b_acatepec_GR;Acatepec;;;;;;;;;;;;;x
b_acatic_JA;Acatic;;;;;;;;;;;;;x
b_acatlan_PU;Acatlán;;;;;;;;;;;;;x
b_acayucan_VE;Acayucan;;;;;;;;;;;;;x
b_aceites_LLA_adj;Aceitesian;;;;;;;;;;;;;x
b_aceites_LLA;Aceites;;;;;;;;;;;;;x
b_achaguas_LLA_adj;Achaguasian;;;;;;;;;;;;;x
b_achaguas_LLA;Achaguas;;;;;;;;;;;;;x
b_ackerly_TX;Ackerly;;;;;;;;;;;;;x
b_ackerman_MS;Ackerman;;;;;;;;;;;;;x
b_ackley_IA;Ackley;;;;;;;;;;;;;x
b_acomita_NM;Acomita;;;;;;;;;;;;;x
b_aconchi_SO;Aconchi;;;;;;;;;;;;;x
b_acoyapa_NIC_adj;Acoyapaian;;;;;;;;;;;;;x
b_acoyapa_NIC;Acoyapa;;;;;;;;;;;;;x
b_actopan_HI;Actopan;;;;;;;;;;;;;x
b_actopan_VE;Actopan;;;;;;;;;;;;;x
b_acuna_COA;Acuña;;;;;;;;;;;;;x
b_ada_OH;Ada;;;;;;;;;;;;;x
b_adairsville_GA;Adairsville;;;;;;;;;;;;;x
b_adams_MA;Adams;;;;;;;;;;;;;x
b_adams_NY;Adams;;;;;;;;;;;;;x
b_adamsville_TN;Adamsville;;;;;;;;;;;;;x
b_adamsville_TX;Adamsville;;;;;;;;;;;;;x
