#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mormon_government;Theodemocratic;;;;;;;;;;;;;x
mormon_government_desc;The theodemocratic form of government is very similar to the feudal system that is upheld across the post-Event world and the bureaucracy upheld by California. Emphasizing the importance of democratic value and how it is innately intertwined with the faith, [latter_day_saints.GetGroupName] rulers may hold temples as well as castles. Rulers may also freely revoke Judge titles and retract vassals, but otherwise must follow Feudal law. If you switch from a [latter_day_saints.GetGroupName] faith, your government type will switch to Feudal.;;;;;;;;;;;;;x
mormon_government_count;Representative;;;;;;;;;;;;;x
mormon_government_count_female;Representative;;;;;;;;;;;;;x
mormon_government_duke;Judge;;;;;;;;;;;;;x
mormon_government_duke_female;Judge;;;;;;;;;;;;;x
mormon_government_king;High Judge;;;;;;;;;;;;;x
mormon_government_king_female;High Judge;;;;;;;;;;;;;x
mormon_government_emperor;Supreme Judge;;;;;;;;;;;;;x
mormon_government_emperor_female;Supreme Judge;;;;;;;;;;;;;x
tooltip_feudal_elector_vote_child;A child has no place ruling a nation.;;;;;;;;;;;;;x
mormon_elective;Priestly Elective;;;;;;;;;;;;;x
succ_mormon_elective;Priestly Elective;;;;;;;;;;;;;x

player_colonizer;Player Colonizer (SPECIAL TRAIT!);;;;;;;;;;;;;x
player_colonizer_desc;If you add this trait to your character, and are a duke-tier ruler on the Atlantic Coast with British Culture and Thelema religion, or on the Pacific Coast with a Russian Culture and Nousthreskeia, or on the pacific with Edokko and Shinto cultures and religions, you will assume control of a colonial army.;;;;;;;;;;;;;x

succ_mormon_elective_desc;In a theodemocratic state, secular and spiritual rule are intertwined as one. With the value of the soul and democracy acknowledged, elective forms of government are common place in Deseret and its neighboring lands.;;;;;;;;;;;;;x

gov_realm_of_god;Kingdom of God on Earth;;;;;;;;;;;;;x
gov_theodemocratic_state;Theodemocratic State;;;;;;;;;;;;;x
gov_pioneer_state;Pioneer State;;;;;;;;;;;;;x
gov_priestly_court;Priestly Court;;;;;;;;;;;;;x

send_home_goods;Send Colonial Goods Home;;;;;;;;;;;;;x
send_home_goods_desc;Our time here has granted us a banquet of strange furs, goods, ores, and textiles. We could send these home and sell them there.;;;;;;;;;;;;;x

k_redcoat_outpost;Redcoat Colony;;;;;;;;;;;;;x
k_redcoat_outpost_adj;Colonial;;;;;;;;;;;;;x
playerbrit_TITLE;The Colony;;;;;;;;;;;;;x
playerbrit_DESC;A long time ago, the one true nation underneath her majesty, the Queen, had a sprawling empire that spanned across every plane of reality. Yet, tragedy and treachery have brought forth the death of this mighty empire. However, in servitude to her holy name, a colonial expedition has been sent across the great Atlantic to survey the barbarism that has surely sprung up in her absence. If the land is worthy of her name, perhaps more troops will follow...;;;;;;;;;;;;;x
playerbrit2.optA;What?;;;;;;;;;;;;;x
playerbrit2.optB;May all lands praise her majesty!!!;;;;;;;;;;;;;x

call_british_invasion;Call British Invasion;;;;;;;;;;;;;x
call_british_invasion_desc;We have fortified our position in the New World enough to signal back home. Send for troops from the isles!;;;;;;;;;;;;;x

playerbrit.3.name;The Arrival of Her Majesty's Army;;;;;;;;;;;;;x
playerbrit.3.desc;Years ago, a colonial party was sent out from the British heartland to survey the lands of the New World. And yet, what they found there was a land of great empires and kingdoms, of technology and culture, and perhaps most importantly- of wealth. After being "personally" notified of the worth of this land by the highest priests of the Thelemic creed, her Majesty has declared an invasion of the New World, sending tens of thousands of men to fortify her outpost.;;;;;;;;;;;;;x

#this stuff already existed!

