#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DYN1_DESC;With a score of $SCORE$ you$FAILED$ beat House Yudkow, Emperors of California. After the Event, California, the greatest and most populous of the former American states, fell into a period of constant war. Kings and warlords shed rivers of blood to impose their will upon the land, and great houses rose and fell with the tide. Elton the Lawgiver was once a philosopher in the service of one of these great houses, and when his lord was betrayed and murdered by his own retainers, Elton took it upon himself to fulfill the dream of a united California. His diplomacy and teachings on the Cetic philosophy swayed kings and armies to his cause, and those he could not persuade he defeated in battle. Loved by commoners and respected by nobility, Elton was not the first to claim the lands of California, but he and his house were the ones to make it stick, finally ending the centuries-long era of warring states and making California a beacon of peace, prosperity and rebuilding in the post-Event world.;;;;;;;;;;;;;x
DYN2_DESC;With a score of $SCORE$ you$FAILED$ beat House Iturbide, Kings of Mexico. The Iturbides accomplished something few ever have, restoring a pre-Event nation and having their empire universally recognized as a continuation of that ancient land. The Iturbides themselves even claim descent from an ancient pre-Event imperial dynasty, although this claim is impossible to prove. For a time, House Iturbide ruled over the vast majority of Old Mexico, and their empire was by far the greatest force between the Rio Grande and Rio Amazonas. However, the Iturbides' empire was lost due to a series of catastrophic events - the secession of the Yucatan, the Tripartite Revolt in Mesoamerica, and the incursions of the Atom. Nevertheless, the Iturbides maintain control of the ancient capital and stubbornly keep the memory of Mexico alive.;;;;;;;;;;;;;x
DYN3_DESC;With a score of $SCORE$ you$FAILED$ beat House Royall, Emperors of the Holy Columbian Confederacy. In the 24th century, what used to be known as the American Deep South was in chaos. Backwoods tribes and scattered kingdoms warred endlessly with each other, and the Evangelical Church found itself under siege from a powerful heresy known as Postadventism. A vicious war between Postadventist and Evangelical kingdoms lasted for decades until Leonidas Royall led the Evangelicals to victory. Claiming inspiration from his studies of Old America, Leonidas consolidated these conquests under his rule, and then united all the southern realms under his banner one by one, be it by diplomacy or war. This was the start of the Holy Columbian Confederacy, an empire Leonidas claimed was the true successor to Old America. After a Confederate campaign to take Washington DC was stopped by a rare alliance of Americanists, Anabaptists, and Occultists, Leonidas stopped expanding the empire, but under his dynasty, it would become one of the most powerful and stable realms of the post-Event world, politically and culturally a hegemon of the east.;;;;;;;;;;;;;x
DYN4_DESC;With a score of $SCORE$ you$FAILED$ beat House Rodham, Kings of Hudsonia. Claiming direct descent from one of New York State's pre-Event ruling families, the Rodhams marched north from Manhattan in the late 24th century to reclaim their birthright from the Occultist kingdom of New England. Taking advantage of local revolts against the Mahonic kings, financial support from House Wayne, and his own political savvy, the ambitious Ellis I Rodham formed a mighty army, which took the Hudson Valley and Albany itself within the first two months of his campaign. By 2381, he had united all the states under his banner save the Republic of New York, whose independence he respected out of gratitude for the Waynes' help years before. Under his family's rule, Hudsonia's fortunes would wax and wane over the centuries, facing periods of prosperity alongside the challenges of war, rebellion, internal religious strife, disease, and loss of territory to Anabaptists and Rust Cultists. In the end, the Rodhams' mainline faded from power, not through violence, but love.;;;;;;;;;;;;;x
DYN5_DESC;With a score of $SCORE$ you$FAILED$ beat House Sulley, Kings of Moskitia. House Sulley has ruled the Kingdom of Moskitia for over 300 years. Their founder, King Newman, is reputed to have himself lived for over 300 years, an unparalleled feat in the post-Event world. Under the guidance of House Sulley, the Kingdom of Moskitia became one of the oldest and most stable kingdoms in all of Central America even as the lands around them collapse into strife, serving as the core of both the Miskito people and the faith of the Falling Star.;;;;;;;;;;;;;x
DYN6_DESC;With a score of $SCORE$ you$FAILED$ beat House Abbas, the clenched fist of the Imamite faithful. Their founder, Zakariyya I, is noted for supposedly establishing Socal, consolidating the Imamite doctrine from pre-Event understandings of Islam, and for living 100 years. They ruled valiantly through the Warlord Era of California, and submitted peacefully to Elton, being capable administrators in peace and iron hammers in war. During the upheaval of the Green Sash Rebellion and the subsequent collapse of Imperial Authority, House Abbas was overthrown by their once-vassals House Carmine, but legends and stories speak to the loyalists, faithful and disbeliever alike, who pine to see them restored to their seat in Balboa...;;;;;;;;;;;;;x
DYN7_DESC;With a score of $SCORE$ you$FAILED$ beat House Tlgunghung, Kings of the Haida Tlagaang and harbingers of the Raven Deluge. Descending from the nigh-mythic King Yahguaas, the favoured kin of Raven, House Tlgunghung were the first to unite the strong but fractious Haida people after the event. Wielding faith and force in equal measure, they meted ruin upon the decadent Gaian realms of the Northwest, seizing their rich lands for themselves and reviving the ancient creed of Raven. Even after fracturing amidst disputed succession, House Tlgunghung continued to reign and reave across the Pacific Northwest, spreading the tales of Raven across the land.;;;;;;;;;;;;;x
DYN8_DESC;With a score of $SCORE$ you$FAILED$ beat House Nokona, Kings of Comancheria. After the cataclysm, the Comanche, led by House Nokona, broke free from the reservation system and reconquered their ancestral homeland in northwestern Texas, forming the Kingdom of Comancheria. Although the founder of House Nokona, Pahayoko I, followed the traditional faith of his ancestors, his son Moseh converted to the Christian faith of his Texan subjects. This decision proved to be a wise one, as it reduced tensions between the Texan majority and the native ruling class while also protecting Comancheria from the threat of external conquest. Moseh and his descendants were thus able to consolidate their earlier conquests and make Comancheria into a stable feudal kingdom. In 2666, Comancheria has reclaimed almost all of the ancestral Comanche homeland and is by far the most powerful realm in all of Texas.;;;;;;;;;;;;;x
DYN9_DESC;With a score of $SCORE$ you$FAILED$ beat House Mahonic, Kings of New England. Vincent Mahonic was a mighty warrior who united the Occultist tribes of New England into one kingdom, then forged a realm that stretched from Buffalo to New Brunswick, earning a reputation even in old age as one of the most feared men in the Northeast. Vincent's kingdom would last nearly 200 years, but it was never the same after his assassination - his son Keziah lost all of New York to the Rodhams by 2381, and in 2459, New Brunswick and Miramichi broke away. Enraged, Zadok Mahonic called together one of the largest Occultist hordes ever seen and vowed to restore Vincent's empire, starting with Hudsonia. Instead, his army was smashed at the Battle of Saratoga Springs, where Zadok was slain in a mad charge against Norton Rodham. Zadok's death sparked a massive power struggle among the Occultists, who had lost faith in House Mahonic, and by 2500, New England had collapsed back into warring tribes.;;;;;;;;;;;;;x
DYN10_DESC;With a score of $SCORE$ you$FAILED$ beat House Castel of Quebec. Queen Véronique united Quebec in the mid-2500s, finally achieving the dream of a united and independent Quebec. Although her kingdom would not survive her death, Véronique's descendants held and continue to hold various petty titles in the Northeast. Two of her daughters married into Houses Groot and Lengacher, and her son Jacques was the Duke of Detroit prior to his murder at the hands of Overseer Coleman the Liberator.;;;;;;;;;;;;;x
DYN11_DESC;With a score of $SCORE$ you$FAILED$ beat House Pitchstone, the Americanist kings of Dakota. Ned Pitchstone is widely regarded as one of the greatest post-Event Presidents, taking over after President Bannister Smithson was slain by the Deitsch, avenging him, and consolidating Americanist rule in the Midwest. His daughter Margaret was the first woman elected to the Presidency, but she faced a Sioux resurgence and Catholic holy wars, and after her death the kingdom was reconquered by the Sioux and House Pitchstone faded into obscurity.;;;;;;;;;;;;;x
DYN12_DESC;With a score of $SCORE$ you$FAILED$ beat House Yoder, who united much of Pennsylvania under the rule of the Deitsch. Though Deitscherei would continue under other dynasties for several centuries, House Yoder was wiped out when the childless Kaynich Abram II was murdered by Americanists. His successor, Samuel Stolzfus, avenged him by invading Washington and killing President Smithson, setting off a cycle of violence and retribution between Americanists and Anabaptists that ended with a brutal sack of Washington, D.C. Since then, the traditional Anabaptist doctrines of pacifism and religious freedom have largely been set aside.;;;;;;;;;;;;;x
DYN13_DESC;With a score of $SCORE$ you$FAILED$ beat House Tagötöka, High Chieftains of Northern Basin. Tavibo, known to his adherents as "The Holy" and to nearly everyone else as "The Mad", was a mystic who attempted to recreate the deeds of Emperor Elton I of California by preaching his own new philosophy drawing on Cetic, Gaian, and Mormon teachings and conquering a significant part of eastern Oregon. However, his empire never stabilized and, after his death, was divided amongst his children, who each took something different from his teachings.;;;;;;;;;;;;;x
DYN14_DESC;With a score of $SCORE$ you$FAILED$ beat House Soady. One of the greatest Viking raiders of America, Albert Soady embarked from Marquette with hundreds of longships for a great circular voyage down the Mississippi and up the East Coast, exacting tribute from or pillaging every city along the way and sacrificing hundreds, including President Anatol Avondale, to the Slain-God. He returned home with mountains of gold and united all the Jarls of Superior under his reign, but the kingdom did not last long after his death. His lands were divided between his children, and with none of them powerful enough to hold on to the crown, the Kingdom of Superior became a historical footnote.;;;;;;;;;;;;;x
DYN15_DESC;With a score of $SCORE$ you$FAILED$ beat House Avondale, a wealthy and influential Americanist dynasty that produced three different Presidents over the course of 200 years. The dynasty was brought to a violent end by the Viking Albert Soady, who sacked Chicago and sacrificed President Anatol Avondale and his family to the Slain-God.;;;;;;;;;;;;;x
NAME_W_NICK;$TITLE$ $NAME$ $NICK$;$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ '$NICK$';;$TITLE$ $NAME$ '$NICK$';;;;;;;;;x
TITLED_NAME_W_NICK;$TITLE$ $NAME$ $NICK$ of $HOLDING$;$TITLE$ $NAME$ '$NICK$' de $HOLDING$;$TITLE$ $NAME$ '$NICK$' von $HOLDING$;;$TITLE$ $NAME$ '$NICK$' de $HOLDING$;;;;;;;;;x
DIPLOFLAVOR_INSULT_0;Tales of your misdeeds are told from Boston to Brasilia!;Vos méfaits sont connus depuis l’New York jusqu’à Californie.;Von Euren Missetaten erzählt man sich von New York bis Kalifornien!;;Se cuentan historias de tus fechorías desde Nueva York hasta California.;;;;;;;;;x
