#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_voyager;the Voyager;;;;;;;;;;;;x
nick_the_charming;the Charming;;;;;;;;;;;;x
nick_the_beauty;the Beauty;;;;;;;;;;;;x
nick_the_beast;the Beast;;;;;;;;;;;;x
nick_the_tramp;the Tramp;;;;;;;;;;;;x
nick_the_little_mermaid;the Mermaid;;;;;;;;;;;;x
nick_the_sea_cow;the Sea Cow;;;;;;;;;;;;x
nick_the_sea_cow;the Sea Cow;;;;;;;;;;;;x
nick_the_voyageur;the Voyageur;;;;;;;;;;;;x
nick_the_chain_breaker;the Chain Breaker;;;;;;;;;;;;x
nick_the_windigo;the Windigo;;;;;;;;;;;;x
