#SOCIETY STUFF
regla_de_ifa;[GetReglaDeIfaSocietyName];[GetReglaDeIfaSocietyName];[GetReglaDeIfaSocietyName];;;;;;;;;;;x
regla_de_ifa_real;Regla de Ifá;;;;;;;;;;;;;x
regla_de_ifa_real_random;The Order of [santeria.GetHighGodName];;;;;;;;;;;;;x
regla_de_ifa_desc;[GetReglaDeIfaSocietyDesc];[GetReglaDeIfaSocietyDesc];[GetReglaDeIfaSocietyDesc];;;;;;;;;;;x
regla_de_ifa_desc_real;Some say Orunmila is the second in command of creation, and he is known as a wise master of divination. Rather than the diloggún, he divines by casting okuelé chain and ikín nuts across a carved divining board, and he is also skilled in medicine.;;;;;;;;;;;;;x
regla_de_ifa_desc_random;Some say [santeria.GetHighGodName] is the second in command of creation, and he is known as a wise master of divination. Rather than the cowrie shells, he divines by casting nut shells and animal hairs across a carved divining board, and he is also skilled in medicine.;;;;;;;;;;;;;x
regla_de_ifa_leader_desc;The Obá Babalawo of the Regla de Ifá.;;;;;;;;;;;;;x
regla_de_ifa_rank_1_female;Iyawó;Iyawó;Iyawó;;Iyawó;;;;;;;;;x
regla_de_ifa_rank_2_female;Iyanifa;Iyanifa;Iyanifa;;Iyanifa;;;;;;;;;x
regla_de_ifa_rank_3_female;Oyugbona;Oyugbona;Oyugbona;;Oyugbona;;;;;;;;;x
regla_de_ifa_rank_4_female;Obá Iyanifa;Obá Iyanifa;Obá Iyanifa;;Obá Iyanifa;;;;;;;;;x
regla_de_ifa_rank_1_male;Iyawó;Iyawó;Iyawó;;Iyawó;;;;;;;;;x
regla_de_ifa_rank_2_male;Babalawo;Babalawo;Babalawo;;Babalawo;;;;;;;;;x
regla_de_ifa_rank_3_male;Oyugbona;Oyugbona;Oyugbona;;Oyugbona;;;;;;;;;x
regla_de_ifa_rank_4_male;Obá Babalawo;Obá Babalawo;Obá Babalawo;;Obá Babalawo;;;;;;;;;x
currency_name_regla_de_ifa;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
String_the_Divine_will;the Divine Will;;;;;;;;;;;;;x
tire_machet;Tire Machèt;;;;;;;;;;;;;x
tire_machet_desc;This character has mastered the obscure art of tire machèt.;;;;;;;;;;;;;x
#Decisions
regla_de_ifa_warrior_training;Machete Training;;;;;;;;;;;;;x
regla_de_ifa_warrior_training_desc;As you are a member of §Y[GetReglaDeIfaSocietyName]§!, you can undergo rigorous training to achieve a new ability on the battlefield.;;;;;;;;;;;;;x
regla_de_ifa_warrior_training_decision_tt;You begin your training regimen.;;;;;;;;;;;;;x
regla_de_ifa_perform_scrying;Perform Scrying;Prédire l'avenir;Zukunft deuten;;Practicar adivinación;;;;;;;;;x
regla_de_ifa_perform_scrying_desc;As a member of [From.Society.GetName], §Y[From.GetTitledFirstName]§! may choose to turn to the mystical art of divination in an attempt to foretell the future.;En tant que membre [From.Get_du_Society], [From.Get_le_TitledFirstNameJ] peut choisir de se tourner vers l'art mystique de la divination dans une tentative de prédire l'avenir.;Als Mitglied des "[From.Society.GetName]"-Zirkels kann §Y[From.GetTitledFirstName]§! sich der mystischen Kunst der Prophezeiung bedienen, um zu versuchen, die Zukunft vorherzusagen.;;Como miembro de [From.Society.GetName], §Y[From.GetTitledFirstName]§! puede optar a convertirse al arte místico de la adivinación para intentar predecir el futuro.;;;;;;;;;x
regla_de_ifa_brew_happiness_potion;Brew Happiness Potion;;;;;;;;;;;;;x
regla_de_ifa_brew_happiness_potion_desc;As a [From.GetSocietyRank] of [From.Society.GetName], §Y[From.GetTitledFirstName]§! can brew a potion to raise low spirits.;En tant qu[From.Get_e_SocietyRank] [From.Get_du_Society], [From.Get_le_TitledFirstNameJ] peut préparer un breuvage magique qui chasse la déprime.;Als [From.GetSocietyRank] des "[From.Society.GetName]"-Zirkels kann §Y[From.GetTitledFirstName]§! einen Trank brauen, der die Gemüter hebt.;;Como [From.GetSocietyRank] de [From.Society.GetName], §Y[From.GetTitledFirstName]§! puede elaborar una poción para levantar el ánimo.;;;;;;;;;x
regla_de_ifa_create_fetish;Create Fetish;;;;;;;;;;;;;x
regla_de_ifa_create_fetish_desc;Use your deep knowledge of the soul to create a fetish that is imbued with spiritual power.;;;;;;;;;;;;;x
regla_de_ifa_create_fetish_decision_tt;Begin the process of creating a fetish based on your specific religion.;;;;;;;;;;;;;x
regla_de_ifa_perform_scrying_power_desc;Enables §Gright-clicking§! on your character's portrait in order to turn to the mystical art of divination in an attempt to foretell the future.;Permet de se tourner vers l'art mystique de la divination dans une tentative de prédire l'avenir.\n(Faites un clic droit sur votre portrait);Ermöglicht einen §GRechtsklick§! auf das Porträt Eures Charakters, um einen Versuch zur Vorhersage der Zukunft zu unternehmen.;;Activa el §Gclic con el botón secundario§! en el retrato de tu personaje para que se convierta al arte místico de la adivinación e intente predecir el futuro.;;;;;;;;;x
regla_de_ifa_brew_happiness_potion_power_desc;Enables §Gright-clicking§! the portrait of any §RDepressed§! or §RStressed§! character in your court, in order to make them a potion that raises their spirits, in exchange for §Y[From.Society.GetCurrency]§!.;Permet de préparer un breuvage magique qui chasse les mauvaises pensées pour les personnages de la Cour en §Rdépression§! ou ayant de l'§Ranxiété§! en échange de §Y[From.Society.GetCurrency]§!.\n(Faites un clic droit sur leurs portraits);Ermöglicht einen §GRechtsklick§! auf das Porträt einer §Rdeprimierten§! oder §Rgestressten§! Person an Eurem Hof, um gegen einen Preis von §Y[From.Society.GetCurrency]§! für diese einen Trank zuzubereiten, der ihr Gemüt hebt.;;Activa el §Gclic con el botón secundario§! en el retrato de cualquier personaje §Rdeprimido§! o §Restresado§! de tu corte para prepararles una poción que les levante el ánimo a cambio de §Y[From.Society.GetCurrency]§!.;;;;;;;;;x
regla_de_ifa_warrior_training_power_desc;Enables a decision in the §YIntrigue§! menu that gives you a unique martial trait.;;;;;;;;;;;;;x
regla_de_ifa_create_fetish_power_desc;Enables a decision in the §YIntrigue§! menu for rulers in §Y[GetReglaDeIfaSocietyName]§! to create special artifacts that are imbued with mystical properties.;;;;;;;;;;;;;x
regla_de_ifa_celibacy_tt;As an initiate in §Y[GetReglaDeIfaSocietyName]§!, you are sworn to a vow of celibacy. This restriction will be lifted if you manage to advance to the next rank.;;;;;;;;;;;;;x
regla_de_ifa_invite_ascetic;Invite Holy Ascetic;Inviter un saint ascétique;Heiligen Asketen einladen;;Invitar a un/a santo/a asceta;;;;;;;;;x
regla_de_ifa_invite_ascetic_desc;Invite a holy ascetic belonging to [Root.Society.GetName] to join your court.;Inviter un saint ascétique membre [Root.Get_du_Society] à rejoindre votre Cour.;Ladet einen heiligen Asketen, der dem "[Root.Society.GetName]"-Zirkel angehört, dazu ein, sich an Euren Hof zu gesellen.;;Invitas a un/a santo/a asceta de [Root.Society.GetName] a unirse a tu corte.;;;;;;;;;x
regla_de_ifa_invite_ascetic_tt;A holy ascetic will soon appear at the court of §Y[Root.GetTitledFirstName]§!.\n;Un saint ascétique apparaîtra bientôt à la Cour [Root.Get_du_TitledFirstNameJ].\n;Am Hof von §Y[Root.GetTitledFirstName]§! wird bald ein heiliger Asket erscheinen.\n;;Pronto aparecerá un/a santo/a asceta en la corte de §Y[Root.GetTitledFirstName]§!.\n;;;;;;;;;x
regla_de_ifa_receive_ewo;Receive Ewo;;;;;;;;;;;;;x
regla_de_ifa_receive_ewo_desc;As a member of [GetReglaDeIfaSocietyName], you have the ability to receive an ewo, a restriction on your behavior that will make you more connected to the divine.;;;;;;;;;;;;;x
regla_de_ifa_receive_ewo_tt;You begin the process of receiving an ewo.;;;;;;;;;;;;;x

#Events
