#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_newyork;Gotham;;;;;;;;;;;;;x
e_newyork_adj;Gothamite;;;;;;;;;;;;;x
e_dixie;Holy Columbian Confederacy;;;;;;;;;;;;;x
e_dixie_adj;Confederate;;;;;;;;;;;;;x
e_caribbean;Caribbean Empire;;;;;;;;;;;;;x
e_caribbean_adj;Caribbean;;;;;;;;;;;;;x
e_canada;Canada;;;;;;;;;;;;;x
e_canada_adj;Canadian;;;;;;;;;;;;;x
e_great_lakes;The Great Lakes;;;;;;;;;;;;;x
e_great_lakes_adj;Lacustrine;;;;;;;;;;;;;x
e_redcoat_dominion;Redcoat Dominion;;;;;;;;;;;;;x
e_redcoat_dominion_adj;Redcoat;;;;;;;;;;;;;x
e_brazil;Brazil;;;;;;;;;;;;;x
e_brazil_adj;Brazilian;;;;;;;;;;;;;x
e_cuba;Cuban Empire;;;;;;;;;;;;;x
e_cuba_adj;Cuban;;;;;;;;;;;;;x
e_haiti;Haitian Empire;;;;;;;;;;;;;x
e_haiti_adj;Haitian;;;;;;;;;;;;;x
e_puerto_rico;Puerto Rican Empire;;;;;;;;;;;;;x
e_puerto_rico_adj;Puerto Rican;;;;;;;;;;;;;x
e_dominica;Dominican Empire;;;;;;;;;;;;;x
e_dominica_adj;Domincan;;;;;;;;;;;;;x
e_cajun;Cajun Empire;;;;;;;;;;;;;x
e_cajun_adj;Cajun;;;;;;;;;;;;;x
e_quebec;Quebecois Empire;;;;;;;;;;;;;x
e_quebec_adj;Quebecois;;;;;;;;;;;;;x
e_tuskegean;Tuskegean Empire;;;;;;;;;;;;;x
e_tuskegean_adj;Tuskegean;;;;;;;;;;;;;x
e_texas;Texan Empire;;;;;;;;;;;;;x
e_texas_adj;Texan;;;;;;;;;;;;;x
e_appalachia;Appalachian Empire;;;;;;;;;;;;;x
e_appalachia_adj;Appalachian;;;;;;;;;;;;;x
e_yankee;Yankee Empire;;;;;;;;;;;;;x
e_yankee_adj;Yankee;;;;;;;;;;;;;x
e_nord;Nordic Empire;;;;;;;;;;;;;x
e_nord_adj;Nordic;;;;;;;;;;;;;x
e_yooper;Yooper Empire;;;;;;;;;;;;;x
e_yooper_adj;Yooper;;;;;;;;;;;;;x
e_rustbelt;Rust Empire;;;;;;;;;;;;;x
e_rustbelt_adj;Rustman;;;;;;;;;;;;;x
e_chicagoan;Chicagoan Empire;;;;;;;;;;;;;x
e_chicagoan_adj;Chicagoan;;;;;;;;;;;;;x
e_lacustrine;Lacustrine Empire;;;;;;;;;;;;;x
e_lacustrine_adj;Lacustrine;;;;;;;;;;;;;x
e_lone_star;The Lone Star;;;;;;;;;;;;;x
e_lone_star_adj;Texan;;;;;;;;;;;;;x
e_gulfard;Gulfard Empire;;;;;;;;;;;;;x
e_gulfard_adj;Gulfard;;;;;;;;;;;;;x
e_dellsman;Dellsman Empire;;;;;;;;;;;;;x
e_dellsman_adj;Dellsman;;;;;;;;;;;;;x
e_grangelander;Grangelander Empire;;;;;;;;;;;;;x
e_grangelander_adj;Grangelander;;;;;;;;;;;;;x
e_gothamite;Gothamite Empire;;;;;;;;;;;;;x
e_gothamite_adj;Gothamite;;;;;;;;;;;;;x
e_hudsonian;Hudsonian Empire;;;;;;;;;;;;;x
e_hudsonian_adj;Hudsonian;;;;;;;;;;;;;x
e_delawarean;Delawarean Empire;;;;;;;;;;;;;x
e_delawarean_adj;Delawarean;;;;;;;;;;;;;x
e_riverlander;Riverlander Empire;;;;;;;;;;;;;x
e_riverlander_adj;Riverlander;;;;;;;;;;;;;x
e_maritimer;Maritimer Empire;;;;;;;;;;;;;x
e_maritimer_adj;Maritimer;;;;;;;;;;;;;x
e_deitsch;Deitsch Empire;;;;;;;;;;;;;x
e_deitsch_adj;Deitsch;;;;;;;;;;;;;x
e_beltway;Beltway Empire;;;;;;;;;;;;;x
e_beltway_adj;Beltway;;;;;;;;;;;;;x
k_evangelical;Ecumenical Church Council;;;;;;;;;;;;;x
k_evangelical_adj;Evangelical;;;;;;;;;;;;;x
